# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 2425279124613
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.09%  GWA              GWA                   [.] Eigen::internal::general_matrix_vector_product<long, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long, 1>, 1, false, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long, 0>, false, 0>::run(long, long, Eigen::internal::const_blas_data_mapper<std::complex<double>, long, 1> const&, Eigen::internal::const_blas_data_mapper<std::complex<double>, long, 0> const&, std::complex<double>*, long, std::complex<double>)
     0.09%  GWA              GWA                   [.] amplitude::getIntegral(std::complex<double>, int, int)
     0.08%  GWA              GWA                   [.] std::_Function_handler<double (double), amplitude::getIntegral(double, int)::{lambda(double)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.07%  GWA              GWA                   [.] Eigen::internal::triangular_solve_matrix<std::complex<double>, long, 1, 2, false, 0, 0, 1>::run(long, long, std::complex<double> const*, long, std::complex<double>*, long, long, Eigen::internal::level3_blocking<std::complex<double>, std::complex<double> >&)
     0.07%  GWA              GWA                   [.] Eigen::internal::Assignment<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Inverse<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<std::complex<double>, std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, Eigen::Product<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, 0> const> >, Eigen::internal::assign_op<std::complex<double>, std::complex<double> >, Eigen::internal::Dense2Dense, void>::run(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Inverse<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<std::complex<double>, std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, Eigen::Product<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, 0> const> > const&, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > const&) [clone .isra.0]
     0.07%  GWA              GWA                   [.] amplitude::amplitude(amplitude const&)
     0.07%  GWA              GWA                   [.] Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::resize(long, long)
     0.06%  GWA              GWA                   [.] amplitude::getChanNames[abi:cxx11]()
     0.06%  GWA              GWA                   [.] std::vector<channel, std::allocator<channel> >::~vector()
     0.06%  GWA              GWA                   [.] amplitude::getIntegral(double, int)
     0.06%  GWA              GWA                   [.] Eigen::internal::triangular_solve_matrix<std::complex<double>, long, 1, 5, false, 0, 0, 1>::run(long, long, std::complex<double> const*, long, std::complex<double>*, long, long, Eigen::internal::level3_blocking<std::complex<double>, std::complex<double> >&)
     0.06%  GWA              GWA                   [.] observable::incl_chisq()
     0.06%  GWA              GWA                   [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.04%  GWA              libm.so.6             [.] __ieee754_log_fma
     0.04%  GWA              libstdc++.so.6.0.33   [.] operator delete(void*, unsigned long)
     0.04%  GWA              GWA                   [.] void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.04%  GWA              [kernel.kallsyms]     [k] __irqentry_text_end
     0.04%  GWA              libstdc++.so.6.0.33   [.] operator delete(void*)
     0.04%  GWA              libstdc++.so.6.0.33   [.] operator delete(void*)@plt
     0.03%  GWA              GWA                   [.] amplitude::~amplitude()
     0.03%  GWA              GWA                   [.] channel::channel(channel const&)
     0.03%  GWA              GWA                   [.] Eigen::internal::compute_inverse<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1>::run(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&)
     0.03%  GWA              libstdc++.so.6.0.33   [.] free@plt
     0.03%  GWA              GWA                   [.] operator delete(void*, unsigned long)@plt
     0.03%  GWA              GWA                   [.] Eigen::PartialPivLU<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::compute()
     0.03%  GWA              libstdc++.so.6.0.33   [.] malloc@plt
     0.03%  GWA              GWA                   [.] Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*>(__gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, __gnu_cxx::__normal_iterator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const*, std::vector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, std::allocator<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*)
     0.03%  GWA              GWA                   [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.02%  GWA              [kernel.kallsyms]     [k] error_entry
     0.02%  GWA              GWA                   [.] std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
     0.02%  GWA              GWA                   [.] operator new(unsigned long)@plt
     0.02%  GWA              GWA                   [.] Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::PlainObjectBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > > const&)
     0.02%  GWA              GWA                   [.] Eigen::internal::gemm_pack_rhs<std::complex<double>, long, Eigen::internal::blas_data_mapper<std::complex<double>, long, 0, 0, 1>, 4, 0, false, true>::operator()(std::complex<double>*, Eigen::internal::blas_data_mapper<std::complex<double>, long, 0, 0, 1> const&, long, long, long, long) [clone .isra.0]
     0.02%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDim::CreateIntegrator(ROOT::Math::IntegrationOneDim::Type, double, double, unsigned int, int)
     0.02%  GWA              GWA                   [.] memmove@plt
     0.02%  GWA              GWA                   [.] std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
     0.02%  GWA              [kernel.kallsyms]     [k] update_load_avg
     0.02%  GWA              [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     0.02%  GWA              [kernel.kallsyms]     [k] __update_load_avg_se
     0.01%  GWA              GWA                   [.] channel::getName[abi:cxx11]()
     0.01%  GWA              libc.so.6             [.] _int_free_merge_chunk
     0.01%  GWA              [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.01%  GWA              GWA                   [.] channel::getTrueMomentum(std::complex<double>)
     0.01%  GWA              GWA                   [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.01%  GWA              [kernel.kallsyms]     [k] update_curr
     0.01%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::GaussIntegrator(double, double)
     0.01%  GWA              libc.so.6             [.] __memcmp_avx2_movbe
     0.01%  GWA              GWA                   [.] channel::getThreshold()
     0.01%  GWA              libstdc++.so.6.0.33   [.] std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
     0.01%  GWA              [kernel.kallsyms]     [k] native_write_msr
     0.01%  GWA              GWA                   [.] memcpy@plt
     0.01%  GWA              [kernel.kallsyms]     [k] update_cfs_group
     0.01%  GWA              GWA                   [.] void Eigen::internal::evaluateProductBlockingSizesHeuristic<std::complex<double>, std::complex<double>, 4, long>(long&, long&, long&, long)
     0.01%  GWA              [kernel.kallsyms]     [k] native_irq_return_iret
     0.01%  GWA              GWA                   [.] channel::getCoupling(int)
     0.01%  GWA              GWA                   [.] Eigen::PartialPivLU<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::PartialPivLU<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >(Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > const&)
     0.01%  GWA              GWA                   [.] void Eigen::internal::call_dense_assignment_loop<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const&, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > const&)
     0.01%  GWA              GWA                   [.] std::complex<double> std::pow<double>(std::complex<double> const&, double const&) [clone .constprop.0] [clone .isra.0]
     0.01%  GWA              GWA                   [.] void Eigen::TriangularViewImpl<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, 5u, Eigen::Dense>::solveInPlace<1, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >(Eigen::MatrixBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > const&) const
     0.01%  GWA              [kernel.kallsyms]     [k] task_tick_fair
     0.01%  GWA              libstdc++.so.6.0.33   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.01%  GWA              GWA                   [.] channel::getChebyCoeffs()
     0.01%  GWA              [kernel.kallsyms]     [k] sync_regs
     0.01%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::IntegralUp(double)
     0.01%  GWA              libm.so.6             [.] __sincos_fma
     0.01%  GWA              GWA                   [.] void Eigen::TriangularViewImpl<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, 2u, Eigen::Dense>::solveInPlace<1, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >(Eigen::MatrixBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> > const&) const
     0.01%  GWA              GWA                   [.] malloc@plt
     0.01%  GWA              GWA                   [.] free@plt
     0.01%  GWA              GWA                   [.] Eigen::internal::partial_lu_impl<std::complex<double>, 0, int, -1>::blocked_lu(long, long, std::complex<double>*, long, int*, int&, long)
     0.01%  GWA              GWA                   [.] amplitude::getName[abi:cxx11]()
     0.01%  GWA              GWA                   [.] observable::getAmpNames[abi:cxx11]()
     0.01%  GWA              [kernel.kallsyms]     [k] reweight_entity
     0.01%  GWA              [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.01%  GWA              GWA                   [.] Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> >::resize(long, long)
     0.01%  GWA              [kernel.kallsyms]     [k] read_tsc
     0.01%  GWA              GWA                   [.] std::vector<double, std::allocator<double> >::~vector()
     0.01%  GWA              [kernel.kallsyms]     [k] __calc_delta.constprop.0
     0.01%  GWA              [kernel.kallsyms]     [k] update_curr_se
     0.01%  GWA              [kernel.kallsyms]     [k] hrtimer_interrupt
     0.00%  GWA              GWA                   [.] observable::getampindex(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.00%  GWA              [kernel.kallsyms]     [k] native_read_msr
     0.00%  GWA              [kernel.kallsyms]     [k] timekeeping_advance
     0.00%  GWA              GWA                   [.] void Eigen::internal::gemv_dense_selector<2, 1, true>::run<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const>, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> const>, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> > >(Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> >&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> >::Scalar const&) [clone .isra.0]
     0.00%  GWA              libc.so.6             [.] _int_free_maybe_consolidate
     0.00%  GWA              [kernel.kallsyms]     [k] __raw_spin_lock_irqsave
     0.00%  GWA              [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%  GWA              GWA                   [.] observable::excl_chisq()
     0.00%  GWA              GWA                   [.] void Eigen::internal::gemv_dense_selector<2, 1, true>::run<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const>, Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const>, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> > >(Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const> const&, Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> >&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> >::Scalar const&) [clone .isra.0]
     0.00%  GWA              GWA                   [.] void Eigen::internal::gemv_dense_selector<2, 1, true>::run<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const>, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> const>, Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > > >(Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const> const&, Eigen::Transpose<Eigen::Matrix<std::complex<double>, 1, -1, 1, 1, -1> const> const&, Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >&, Eigen::Transpose<Eigen::Transpose<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::Scalar const&) [clone .isra.0]
     0.00%  GWA              [kernel.kallsyms]     [k] account_user_time
     0.00%  GWA              GWA                   [.] Eigen::Block<Eigen::Ref<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, 0, Eigen::OuterStride<-1> >, -1, -1, false>::Block(Eigen::Ref<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, 0, Eigen::OuterStride<-1> >&, long, long, long, long)
     0.00%  GWA              [kernel.kallsyms]     [k] avg_vruntime
     0.00%  GWA              libm.so.6             [.] __log1p_fma
     0.00%  GWA              GWA                   [.] std::_Rb_tree<intKey, std::pair<intKey const, std::complex<double> >, std::_Select1st<std::pair<intKey const, std::complex<double> > >, std::less<intKey>, std::allocator<std::pair<intKey const, std::complex<double> > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<intKey const, std::complex<double> > >, intKey const&)
     0.00%  GWA              [kernel.kallsyms]     [k] nohz_balancer_kick
     0.00%  GWA              [kernel.kallsyms]     [k] native_sched_clock
     0.00%  GWA              GWA                   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()@plt
     0.00%  GWA              [kernel.kallsyms]     [k] scheduler_tick
     0.00%  GWA              GWA                   [.] Eigen::internal::aligned_malloc(unsigned long)
     0.00%  GWA              libm.so.6             [.] __clog
     0.00%  GWA              [kernel.kallsyms]     [k] hrtimer_active
     0.00%  GWA              [kernel.kallsyms]     [k] ktime_get_update_offsets_now
     0.00%  GWA              [kernel.kallsyms]     [k] timerqueue_add
     0.00%  GWA              [kernel.kallsyms]     [k] update_min_vruntime
     0.00%  GWA              [kernel.kallsyms]     [k] lapic_next_deadline
     0.00%  GWA              GWA                   [.] std::_Rb_tree<intKey, std::pair<intKey const, std::complex<double> >, std::_Select1st<std::pair<intKey const, std::complex<double> > >, std::less<intKey>, std::allocator<std::pair<intKey const, std::complex<double> > > >::_M_erase(std::_Rb_tree_node<std::pair<intKey const, std::complex<double> > >*) [clone .isra.0]
     0.00%  GWA              GWA                   [.] Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::resize(long, long) [clone .constprop.0]
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::IntegrandTransform(double, ROOT::Math::IntegrandTransform::ESemiInfinitySign, ROOT::Math::IBaseFunctionOneDim const*)
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDimOptions::DefaultWKSize()@plt
     0.00%  GWA              GWA                   [.] channel::getS0()
     0.00%  GWA              libm.so.6             [.] log@@GLIBC_2.29
     0.00%  GWA              [kernel.kallsyms]     [k] update_vsyscall
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::~GaussIntegrator()@plt
     0.00%  GWA              GWA                   [.] channel::getChebyCoeff(int)
     0.00%  GWA              libCling.so           [.] llvm::BitstreamCursor::readRecord(unsigned int, llvm::SmallVectorImpl<unsigned long>&, llvm::StringRef*)
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::~GaussIntegrator()
     0.00%  GWA              [kernel.kallsyms]     [k] arch_scale_freq_tick
     0.00%  GWA              libMathCore.so        [.] operator delete(void*, unsigned long)@plt
     0.00%  GWA              [kernel.kallsyms]     [k] timekeeping_update
     0.00%  GWA              libc.so.6             [.] unlink_chunk.isra.0
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDimOptions::DefaultWKSize()
     0.00%  GWA              libMathCore.so        [.] operator new(unsigned long)@plt
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::IntegrandTransform(double, ROOT::Math::IntegrandTransform::ESemiInfinitySign, ROOT::Math::IBaseFunctionOneDim const*)@plt
     0.00%  GWA              [kernel.kallsyms]     [k] rcu_pending
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDimOptions::DefaultNPoints()
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDimOptions::DefaultNPoints()@plt
     0.00%  GWA              GWA                   [.] memcmp@plt
     0.00%  GWA              GWA                   [.] channel::getPoleType()
     0.00%  GWA              [kernel.kallsyms]     [k] update_fast_timekeeper
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::SetFunction(ROOT::Math::IBaseFunctionOneDim const&)
     0.00%  GWA              [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.00%  GWA              [kernel.kallsyms]     [k] rcu_sched_clock_irq
     0.00%  GWA              [kernel.kallsyms]     [k] timekeeping_adjust.constprop.0
     0.00%  GWA              [kernel.kallsyms]     [k] run_posix_cpu_timers
     0.00%  GWA              [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.00%  GWA              libm.so.6             [.] __ieee754_atan2_fma
     0.00%  GWA              [kernel.kallsyms]     [k] llist_add_batch
     0.00%  GWA              [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.00%  GWA              [kernel.kallsyms]     [k] tick_nohz_highres_handler
     0.00%  GWA              [kernel.kallsyms]     [k] update_process_times
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::IntegratorOneDimOptions::DefaultRelTolerance()@plt
     0.00%  GWA              [kernel.kallsyms]     [k] idle_cpu
     0.00%  GWA              GWA                   [.] std::_Rb_tree<intKey, std::pair<intKey const, std::complex<double> >, std::_Select1st<std::pair<intKey const, std::complex<double> > >, std::less<intKey>, std::allocator<std::pair<intKey const, std::complex<double> > > >::_M_get_insert_unique_pos(intKey const&)
     0.00%  GWA              [kernel.kallsyms]     [k] kick_ilb
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::GaussIntegrator(double, double)@plt
     0.00%  GWA              [kernel.kallsyms]     [k] call_function_single_prep_ipi
     0.00%  GWA              [kernel.kallsyms]     [k] _find_next_and_bit
     0.00%  GWA              [kernel.kallsyms]     [k] sched_clock_cpu
     0.00%  GWA              [kernel.kallsyms]     [k] ktime_get
     0.00%  GWA              [kernel.kallsyms]     [k] tick_program_event
     0.00%  GWA              [kernel.kallsyms]     [k] perf_event_task_tick
     0.00%  GWA              [kernel.kallsyms]     [k] __cgroup_account_cputime_field
     0.00%  GWA              [kernel.kallsyms]     [k] acct_account_cputime
     0.00%  GWA              [kernel.kallsyms]     [k] rb_next
     0.00%  GWA              [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.00%  GWA              [kernel.kallsyms]     [k] _nv039899rm
     0.00%  GWA              [kernel.kallsyms]     [k] cpuacct_charge
     0.00%  GWA              [kernel.kallsyms]     [k] x86_pmu_disable
     0.00%  GWA              GWA                   [.] log@plt
     0.00%  GWA              [kernel.kallsyms]     [k] __hrtimer_next_event_base
     0.00%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::~GaussIntegrator()
     0.00%  GWA              GWA                   [.] ROOT::Math::IntegratorOneDim::CreateIntegrator(ROOT::Math::IntegrationOneDim::Type, double, double, unsigned int, int)@plt
     0.00%  GWA              [kernel.kallsyms]     [k] tick_do_update_jiffies64
     0.00%  GWA              [kernel.kallsyms]     [k] fpregs_assert_state_consistent
     0.00%  GWA              [kernel.kallsyms]     [k] update_rq_clock
     0.00%  GWA              libm.so.6             [.] __ieee754_exp_fma
     0.00%  GWA              GWA                   [.] std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@plt
     0.00%  GWA              libCling.so           [.] clang::serialization::MultiOnDiskHashTable<clang::serialization::reader::ASTDeclContextNameLookupTrait>::find(clang::DeclarationName const&)
     0.00%  GWA              [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.00%  GWA              [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     0.00%  GWA              GWA                   [.] ROOT::Math::WrappedFunction<ROOT::Math::Functor1D&>::~WrappedFunction()
     0.00%  GWA              [kernel.kallsyms]     [k] sched_clock
     0.00%  GWA              [kernel.kallsyms]     [k] handle_softirqs
     0.00%  GWA              [kernel.kallsyms]     [k] update_vdso_data.constprop.0
     0.00%  GWA              [kernel.kallsyms]     [k] nohz_balance_exit_idle
     0.00%  GWA              [kernel.kallsyms]     [k] calc_global_load
     0.00%  GWA              libMinuit2.so         [.] ROOT::Minuit2::MnUserFcn::operator()(ROOT::Minuit2::LAVector const&) const
     0.00%  GWA              [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.00%  GWA              [kernel.kallsyms]     [k] __remove_hrtimer
     0.00%  GWA              [kernel.kallsyms]     [k] check_cpu_stall
     0.00%  GWA              [kernel.kallsyms]     [k] irq_enter_rcu
